Status,Found,Role,Employer,Location,Salary,SOC,Skill level,Sponsor licence,Fit,Why it fits,Closes,Link,Source
Live,2026-09-05,Global Mobility Manager,Freshfields Bruckhaus Deringer LLP,London or Manchester,Not stated,1136,Higher,Yes — Skilled Worker,4,"Owns UK/EAME/MENA/Asia visa and immigration casework with team-leadership responsibility at a Magic Circle law firm — a striking match for D's literal right-to-work-compliance specialism; the advert wants 5+ years' professional-services casework experience, a genuine stretch from her current Advisor-level Companies House role, and states no salary; firm's HR employing entity (Freshfields Service Company) is licensed for Skilled Worker, though the trading name differs from the register match.",Not stated,https://freshfields.wd3.myworkdayjobs.com/en-US/FBD_101/job/London/Global-Mobility-Manager_R-08459,freshfields.wd3.myworkdayjobs.com (page verified)
Live,2026-09-05,Employee Relations Manager,Freshfields Bruckhaus Deringer LLP,Manchester (hybrid),Not stated,1136,Higher,Yes — Skilled Worker,4,"Employee Relations Manager reporting to the Senior ER Manager at a Magic Circle law firm applies D's employment-legislation and right-to-work compliance specialism directly; firm's HR employing entity (Freshfields Service Company) is licensed for Skilled Worker, though the advert states no salary and Manchester is outside London/Cardiff.",Not stated,https://freshfields.wd3.myworkdayjobs.com/en-US/FBD_101/job/Manchester/Employee-Relations-Manager_R-08512,freshfields.wd3.myworkdayjobs.com (page verified)
Live,2026-09-04,HR Manager,Brillio UK Limited,"UK (exact city not stated; hybrid)",Not stated,1136,Higher,Yes — Skilled Worker,4,"Manager-level HR Manager role leading HR operations at a licensed UK IT-services multinational is exactly D's Manager-track target; page confirms it's live and accepting applications (Lever), but the advert states no salary figure, which is itself a risk on a sponsored role.",Not stated,https://jobs.lever.co/brillio-2/08f2656d-41aa-490d-adf6-313d53259338,jobs.lever.co (page verified)
Live,2026-09-04,HR Business Partner,Network Plus Ltd,"Worsley, UK",Not stated,1136,Higher,Yes — Skilled Worker,3,"Permanent HR Business Partner role at a licensed UK infrastructure-services employer matches D's target band; page confirms it's permanent and currently accepting applications, though Worsley (Greater Manchester) is outside London/Cardiff and the advert states no salary figure.",Not stated,https://networkplus.pinpointhq.com/postings/68c45452-99e0-4c1e-9e3b-90c7ee1f53a8,networkplus.pinpointhq.com (page verified)
Live,2026-08-14,HR Business Partner,DLA Piper UK LLP,"London, Birmingham, Leeds, Manchester, Edinburgh or Sheffield",Not stated,1136,Higher,Yes — Skilled Worker,4,"A Magic-Circle-adjacent global law firm HRBP role is exactly the regulated law-firm environment where D's HR-plus-law background is the differentiator; salary wasn't stated, which is a risk on a sponsored role; firm is licensed for Skilled Worker.",Not stated,https://careers.dlapiper.com/jobs/2026/7734-hr-business-partner,dlapiper.com careers (page verified)
Live,2026-08-14,Senior Human Resources Business Partner,BDA Partners (London) Limited,"Manchester / Luton, UK (role also spans France and Germany)","£83,000–£90,000 base plus 15% bonus",1136,Higher,Yes — Skilled Worker,4,"Senior HRBP role covering ~10 Directors and 110 staff across UK/France/Germany is a genuine step up from D's current Advisor-level Companies House role but squarely in her HR-plus-compliance target band; salary clears the 1136 standard going rate comfortably; employer licensed for Skilled Worker.",Not stated,https://job-boards.greenhouse.io/bdainc/jobs/5168492007,job-boards.greenhouse.io (page verified)
Closed 2026-08-14,2026-08-14,Employee Relations Manager,Ashford & St Peters Hospitals NHS Foundation Trust,"Chertsey, Surrey","Not stated (Band 8a; NHS national scale £57,528–£64,750)",1136,Higher,Yes — Skilled Worker,4,"Leads the ER service and manages a team of HR Advisors, a step up from D's current Advisor-level role but within reach given the law-plus-compliance background; Band 8a nationally clears the 1136 standard rate though this posting's exact salary wasn't in the snippet; Trust is licensed for Skilled Worker.",Not stated,https://beta.jobs.nhs.uk/candidate/jobadvert/C9323-SKA2520-1,NHS Jobs (page verified)
Closed 2026-08-14,2026-08-14,HR Business Partner,Chelsea & Westminster Hospital NHS Foundation Trust,London,"£75,328–£86,114 (Band 8b)",1136,Higher,Yes — Skilled Worker,5,"Senior HRBP role in a regulated public-sector trust matches D's governance-plus-compliance profile; Band 8b £75,328–£86,114 clears the 1136 standard going rate comfortably; Trust is licensed for Skilled Worker.",Not stated,https://www.jobs.nhs.uk/candidate/jobadvert/C9289-CR-137,NHS Jobs (page verified)
Closed 2026-08-14,2026-08-14,Global Senior HR Business Partner (FTC to Sep 2027),Clifford Chance LLP,London,Not stated,1136,Higher,Yes — Skilled Worker,5,A Magic Circle law firm HRBP role reporting to the Chief People Officer is exactly the regulated law-firm environment where D's HR-plus-law background is the differentiator; salary wasn't stated but senior/global HRBP roles at this firm clear the standard rate; firm is licensed for Skilled Worker.,Not stated,https://jobs.cliffordchance.com/job/global-senior-hr-business-partner-fixed-term-contract-to-september-2027-in-london-jid-3401,WebSearch snippet (page not fetched)
Closed 2026-08-14,2026-08-14,HR Business Partner (FTC to Oct 2027),Clifford Chance LLP,Newcastle upon Tyne,Not stated,1136,Higher,Yes — Skilled Worker,4,"HRBP role at a Magic Circle law firm's Newcastle hub plays to D's HR-plus-law background; salary wasn't stated in the snippet, and it's outside London/Cardiff; firm is licensed for Skilled Worker.",Not stated,https://jobs.cliffordchance.com/job/hr-business-partner-fixed-term-contract-to-october-2027-in-newcastle-jid-3445,WebSearch snippet (page not fetched)
Closed 2026-09-05,2026-08-14,Group Talent Senior Manager (12 Month FTC),Admiral Group (EUI Limited),Cardiff (hybrid),Not stated,1136,Higher,Yes — Skilled Worker,3,"Senior talent-management role at a major Cardiff employer matches the manager-first search and D's HR seniority target, but it's a 12-month FTC with no salary or visa-sponsorship statement in the advert, so treat the sponsorship signal as unconfirmed.",Not stated,https://www.admiraljobs.co.uk/job/group-talent-senior-manager-12-month-ftc-in-hybrid-jid-3520,Admiral Jobs (page verified)
Closed 2026-09-05,2026-08-14,Employee Relations Advisor (12 months FTC),Legal & General Resources Ltd,Cardiff,Not stated,3571,Medium — TSL/transitional only,Yes — Skilled Worker,3,"Employee relations plus employment-legislation compliance is precisely D's specialism, and it's Cardiff-based like her current Companies House role; but it's Advisor-level (the medium-skilled band that stopped qualifying in July 2025), a 12-month FTC, and the advert states neither salary nor a sponsorship position.",Not stated,https://careers.legalandgeneral.com/job/employee-relations-advisor-12-months-ftc-in-cardiff-jid-8937,L&G Careers (page verified)
